nm,exPts,exVar,wk
Brandon Wilson,0.725276045516332,0.233517363677555,17
Brandon Zylstra,1.54285715164814,2.61891521350847,17
Braxton Berrios,0,0.918515080253737,17
Brennan Scarlett Q,0,1.36157048222379e-18,17
Breshad Perriman,34.3777315335802,2.57159226733734,17
Brett Hundley,5.46000039986818,3.75000029294372,17
Brett Maher,0,2.10239100887612,17
Brian Burns,0,1.36157048222379e-18,17
Brian Hill,2.04697659709484,0.431846225512313,17
Brian Hoyer,0,1.44226461191643,17
Brian Poole,0,1.36157048222379e-18,17
Brooks Reed,0,1.36157048222379e-18,17
Bryan Mone Q,0,1.36157048222379e-18,17
Bryce Hager,0,1.36157048222379e-18,17
Brynden Trawick,0,1.36157048222379e-18,17
Bud Dupree,0,1.36157048222379e-18,17
Budda Baker,0,1.36157048222379e-18,17
Buddy Howell,0,1.30494508540026,17
Buffalo Bills,4.42304025747316,0.760309890441131,17
Buster Skrine,0,1.36157048222379e-18,17
Byron Jones,0,1.36157048222379e-18,17
Byron Murphy Jr.,0,1.36157048222379e-18,17
Byron Pringle,5.72832870821432,0.536160983812181,17
C.J. Board,0.328846225599131,0.0110579260448476,17
C.J. Gardner-Johnson,0,1.36157048222379e-18,17
C.J. Goodwin,0,1.36157048222379e-18,17
C.J. Ham,5.55055081006929,1.19710194734295,17
C.J. Moore,0,1.36157048222379e-18,17
C.J. Mosley,0,1.36157048222379e-18,17
C.J. Prosise,6.09780175319632,1.50130436641163,17
C.J. Uzomah IR,11.6859799499315,1.93398978266927,17
CJ Anderson,0,1.2931439854325,17
Cairo Santos,0,0.885225430307995,17
Calais Campbell Q,0,1.36157048222379e-18,17
Calvin Ridley O,0,2.47080355429432,17
Cam Newton,0,0.787406446970786,17
Cam Sims,2.50000006148121,3.75000009836993,17
Cameron Brate,7.63131365879477,0.426079288587016,17
Cameron Heyward,0,1.36157048222379e-18,17
Cameron Jordan,0,1.36157048222379e-18,17
Cameron Sutton,0,1.36157048222379e-18,17
Cameron Wake,0,1.36157048222379e-18,17
Carl Lawson,0,1.36157048222379e-18,17
Carl Nassib,0,1.36157048222379e-18,17
Carlos Dunlap,0,1.36157048222379e-18,17
Carlos Hyde O,18.7618042031655,1.46481250456829,17
Carlos Watkins,0,1.36157048222379e-18,17
Carlton Davis,0,1.36157048222379e-18,17
Carolina Panthers,5.89286533493902,0.0765036158465917,17
Carson Wentz,29.4581998259718,1.53578471132384,17
Case Keenum,13.4140750336216,0.697932883040815,17
Casey Hayward Jr.,0,1.36157048222379e-18,17
Cassanova McKinzy,0,1.36157048222379e-18,17
Cassius Marsh,0,1.36157048222379e-18,17
Cedrick Wilson,1.16044101082463,0.233517087843597,17
Cethan Carter,4.65000001687457,1.75000000725788,17
Chad Beebe,0,0.574282666299583,17
Chandler Jones IR,0,1.36157048222379e-18,17
Charles Clay,4.31346223757483,0.447087378557181,17
Charles Harris,0,1.36157048222379e-18,17
Charles Washington,0,1.36157048222379e-18,17
Charvarius Ward,0,1.36157048222379e-18,17
Chase Daniel,5.16022901991458,0.718021772533904,17
Chase Edmonds,7.04216077323284,0.164078049860769,17
Chase McLaughlin,4.21429436244281,0.168757464381916,17
Chase Winovich,0,1.36157048222379e-18,17
Chester Rogers,0,1.14075901798129,17
Chicago Bears,1.21425234338204,0.846008655260547,17
Chidobe Awuzie IR,0,1.36157048222379e-18,17
Chris Board,0,1.36157048222379e-18,17
Chris Boswell,6.28845223669999,0.30948889143008,17
